GGDENAME,GDEKT,Summe_Flaeche
Chamoson,VS,279544.65148119326
Champagne,VD,75310.42880720798
Champoz,BE,22932.06227531259
Champtauroz,VD,23153.16483467223
Champvent,VD,64136.266486860346
Champéry,VS,226668.92591874616
Chancy,GE,63675.6666536042
Chapelle (Glâne),FR,25819.054955738433
Chardonne,VD,203729.78621300313
Chavannes-de-Bogis,VD,110268.59938488176
Chavannes-des-Bois,VD,42056.587472243
Chavannes-le-Chêne,VD,38041.54182624178
Chavannes-le-Veyron,VD,19861.678304860892
Chavannes-près-Renens,VD,146113.948423591
Chavannes-sur-Moudon,VD,34807.7975682241
Chavornay,VD,316570.0582062706
Cheseaux-Noréaz,VD,60708.94633924182
Cheseaux-sur-Lausanne,VD,193512.02655903238
Chessel,VD,31065.366693565364
Chevilly,VD,28483.279847710666
Chevroux,VD,63734.76736420263
Chexbres,VD,105993.88144694042
Cheyres-Châbles,FR,169346.34377646475
Chiasso,TI,312626.80255487806
Chigny,VD,20858.001273444082
Chippis,VS,73223.11096314737
Choulex,GE,74332.20525257192
Chur,GR,1535273.0434984113
Churwalden,GR,256136.3155894625
Château-d'Oex,VD,396214.90851286415
Châtel-Saint-Denis,FR,445636.0647602947
Châtel-sur-Montsalvens,FR,22206.134458790817
Châtillon (FR),FR,30696.51475204486
Châtillon (JU),JU,38460.37113200844
Châtonnaye,FR,72019.05551394871
Chénens,FR,59933.295496956074
Chéserex,VD,81394.1879762028
Chêne-Bougeries,GE,454156.6079907511
Chêne-Bourg,GE,222265.32608271777
Chêne-Pâquier,VD,17551.06287055355
Clarmont,VD,13871.650233627252
Clos du Doubs,JU,204733.45725222945
Coeuve,JU,93162.26058831016
Coinsins,VD,43298.24845623706
Coldrerio,TI,151905.90041049922
Collex-Bossy,GE,93705.21221584205
Collina d'Oro,TI,370717.2014669553
Collombey-Muraz,VS,549009.9159325536
Collonge-Bellerive,GE,509544.7597045733
Collonges,VS,41504.37540747929
Cologny,GE,336672.8107461795
Comano,TI,133300.86535998966
Commugny,VD,184271.42309147524
Concise,VD,71214.89496216932
Confignon,GE,173373.91455972704
Conters im Prättigau,GR,27927.349312206097
Conthey,VS,567060.0066169178
Coppet,VD,186180.2741902707
Corbeyrier,VD,52297.95702200459
Corbières,FR,75391.0641605672
Corcelles (BE),BE,25677.52573387726
Corcelles-le-Jorat,VD,66312.2024347469
Corcelles-près-Concise,VD,33730.54356956832
Corcelles-près-Payerne,VD,191756.06733170914
Corgémont,BE,144452.56571381644
Corminboeuf,FR,166045.02544297307
Cormoret,BE,49308.8763050298
Cornaux,NE,111000.74549396361
Cornol,JU,115947.64034337638
Corseaux,VD,121712.96796328836
Corsier (GE),GE,124234.23310599755
Corsier-sur-Vevey,VD,169900.83561776916
Cortaillod,NE,229985.4715843474
Cortébert,BE,74389.80157939144
Cossonay,VD,191688.14105562447
Cottens (FR),FR,98495.15570863582
Courchapoix,JU,40871.91158622794
Courchavon,JU,40968.53308322901
Courgenay,JU,246509.85249718165
Courgevaux,FR,86740.66848148304
Courrendlin,JU,266046.57500176475
Courroux,JU,242992.50855197446
Court,BE,151345.7390239765
Courtedoux,JU,78445.5436169534
Courtelary,BE,132594.58393113295
Courtepin,FR,370044.8144507933
Courtételle,JU,187899.57132151455
Crans (VD),VD,154865.9851575113
Crans-Montana,VS,848905.3600439357
Crassier,VD,69712.24385167653
Cressier (FR),FR,89385.24866746263
Cressier (NE),NE,146927.84761733137
Crissier,VD,504215.6305276775
Cronay,VD,44921.34963394014
Croy,VD,30707.51646962832
Crémines,BE,59736.91310047678
Crésuz,FR,40710.47101501784
Cuarnens,VD,55246.619450790495
Cuarny,VD,33077.95595195252
Cudrefin,VD,149535.69084193103
Cugnasco-Gerra,TI,181971.40066404737
Cugy (FR),FR,124167.43401279693
Cugy (VD),VD,133749.31426000415
Cureglia,TI,72670.02466229083
Curio,TI,44710.15838568056
Curtilles,VD,39418.76468523309
Céligny,GE,53926.05920526053
Dachsen,ZH,136967.65996529488
Dagmersellen,LU,434241.0578830057
Daillens,VD,115115.78848947847
Dallenwil,NW,122795.76437569642
Dalpe,TI,37840.152424851934
Damphreux-Lugnez,JU,58312.328436703196
Dardagny,GE,103186.90372719358
Davos,GR,954395.548235824
Degersheim,SG,307966.4471570707
Deisswil bei Münchenbuchsee,BE,25721.920417170277
Deitingen,SO,202973.11399241694
Delley-Portalban,FR,99917.27097470981
Delémont,JU,837191.152051905
Denens,VD,52353.06172711101
Denges,VD,88439.72896530744
Densbüren,AG,92369.30078813208
Derendingen,SO,367977.57483021135
Develier,JU,147182.68839677598
Diegten,BL,174554.3897863286
Dielsdorf,ZH,383708.03533614083
Diemtigen,BE,492520.8049371705
Diepflingen,BL,52605.30102582544
Diepoldsau,SG,530817.3542617487
Dierikon,LU,123075.65602831681
Diessbach bei Büren,BE,122664.99239646056
Diessenhofen,TG,339655.25300123665
Dietikon,ZH,1064488.9434779303
Dietlikon,ZH,462945.2292610522
Dietwil,AG,97055.89557458102
Dinhard,ZH,151419.22166037664
Dintikon,AG,184442.48282435484
Disentis/Mustér,GR,193219.2361836701
Dittingen,BL,74542.69122747378
Dizy,VD,22623.988626901988
Domat/Ems,GR,400385.63393933483
Domleschg,GR,227393.16285633118
Dompierre (VD),VD,39109.063479593235
Donneloye,VD,81068.17943118271
Doppleschwand,LU,55299.4802875249
Dorf,ZH,58831.10438749958
Dornach,SO,383815.51996607846
Dorénaz,VS,77998.5125352748
Dottikon,AG,217562.61618877368
Dotzigen,BE,150032.72774729767
Dozwil,TG,76121.74490510086
Drei Höfe,SO,71607.91219497267
Duggingen,BL,140875.80452883878
Duillier,VD,73355.33140240803
Dulliken,SO,317797.1168251692
Dully,VD,50607.23994764319
Dägerlen,ZH,123176.90178418825
Dällikon,ZH,246497.17875508114
Däniken,SO,279780.4252268382
Dänikon,ZH,93013.4845974991
Därligen,BE,33991.15768724852
Därstetten,BE,94764.24316939857
Dättlikon,ZH,56088.53191564761
Démoret,VD,29370.643679196204
Dörflingen,SH,85868.44209568514
Döttingen,AG,233494.39879667643
Dübendorf,ZH,1334170.990322303
Düdingen,FR,507715.3986521209
Dürnten,ZH,501006.5877152028
Dürrenroth,BE,181183.38421408195
Dürrenäsch,AG,122089.58609046339
Ebikon,LU,518023.44197365094
Ebnat-Kappel,SG,468827.21746547
Echallens,VD,271907.5676190492
Echandens,VD,144553.81360877983
Echarlens,FR,59333.0911928004
Echichens,VD,175621.94652517253
Eclépens,VD,132312.0206309039
Ecublens (FR),FR,32617.94944020786
Ecublens (VD),VD,679239.2266716775
Ederswiler,JU,25147.166638334675
Egerkingen,SO,333186.8879952905
Egg,ZH,560710.8633029781
Eggenwil,AG,63238.337977793
Eggerberg,VS,30689.11720663698
Eggersriet,SG,157137.9822872087
Eggiwil,BE,371334.00415903714
Eglisau,ZH,285952.1618959189
Egliswil,AG,135360.89969524703
Egnach,TG,678341.214692543
Egolzwil,LU,89378.08511700312
Ehrendingen,AG,238674.3325687359
Eich,LU,109086.48845550217
Eichberg,SG,138583.8183588802
Eiken,AG,182585.9957082503
Einsiedeln,SZ,1202920.6709675954
Eischoll,VS,37447.21248397329
Eisten,VS,12376.176169908384
Elgg,ZH,363098.99322152615
Ellikon an der Thur,ZH,85077.01496229626
Elsau,ZH,237885.77955571093
Embd,VS,22544.59327567701
Embrach,ZH,473904.3353870007
Emmen,LU,1233760.9100325939
Emmetten,NW,125536.8294694936
Endingen,AG,174013.46794548753
Engelberg,OW,387555.7164995618
Enges,NE,30100.272850646146
Ennetbaden,AG,161865.04766815738
Ennetbürgen,NW,248162.62168067467
Ennetmoos,NW,136949.77166493825
Entlebuch,LU,441322.00808241614
Epalinges,VD,374195.03111412266
Ependes (VD),VD,32664.219463588663
Eppenberg-Wöschnau,SO,37494.58458255669
Epsach,BE,40969.7294323268
Eptingen,BL,99626.24338002066
Ergisch,VS,23948.240399689257
Eriswil,BE,180828.83089242008
Eriz,BE,70667.95919012127
Erlach,BE,99434.36705248947
Erlen,TG,438122.26425022236
Erlenbach (ZH),ZH,335409.99838046654
Erlenbach im Simmental,BE,186464.91102454776
Erlinsbach (AG),AG,261306.00654586407
Erlinsbach (SO),SO,245276.2014671024
Ermatingen,TG,332548.00879901095
Ermensee,LU,83098.42983105013
Ernen,VS,68388.84791835764
Erschwil,SO,77866.04453796835
Ersigen,BE,247873.49935690995
Erstfeld,UR,216218.1944405503
Eschenbach (LU),LU,204892.0778079156
Eschenbach (SG),SG,714306.6006591413
Eschenz,TG,217595.03733043827
Eschert,BE,36418.17803589481
Eschlikon,TG,330998.0890924895
Escholzmatt-Marbach,LU,538641.5214542013
Essertines-sur-Rolle,VD,59925.183186900795
Essertines-sur-Yverdon,VD,93297.86610363214
Estavayer,FR,652380.5480051436
Etagnières,VD,78249.21567706327
Etoy,VD,247388.2068089084
Ettingen,BL,269854.09719610267
Ettiswil,LU,196238.9048420889
Etziken,SO,91418.99597880931
Evilard,BE,156967.64782260725
Evionnaz,VS,93681.26306557943
Evolène,VS,247596.28799944386
Eysins,VD,83365.59427600789
Fahrni,BE,83211.33440470306
Fahrwangen,AG,158042.31856120643
Fahy,JU,99653.85982655438
Faido,TI,410261.532130566
Falera,GR,96917.63113272385
Faoug,VD,78495.58919598791
Farnern,BE,29815.460699916875
Fehraltorf,ZH,477365.53155159176
Fehren,SO,46483.48647532288
Felben-Wellhausen,TG,267284.45048923703
Feldbrunnen-St. Niklaus,SO,64778.63346774642
Felsberg,GR,119833.4553032942
Ferden,VS,20614.678020107516
Ferenbalm,BE,181742.380269715
Ferpicloz,FR,25434.557593660767
Ferrera,GR,18165.69937682397
Ferreyres,VD,21922.491954156358
Feuerthalen,ZH,190297.50781929895
Feusisberg,SZ,414948.5684638459
Fey,VD,65167.41270207357
Fideris,GR,70819.08409281551
Fiesch,VS,107061.46954175527
Fieschertal,VS,29929.043527858736
Fiez,VD,40852.678381103484
Finhaut,VS,50701.226508426655
Finsterhennen,BE,59011.20052085744
Fischbach,LU,70024.09069549157
Fischbach-Göslikon,AG,109025.53223895305
Fischenthal,ZH,286484.7328606983
Fischingen,TG,354563.01870063785
Fisibach,AG,53394.54408037114
Fislisbach,AG,269294.4437461415
Flaach,ZH,159614.33934846145
Flawil,SG,705999.1269344573
Flerden,GR,20563.42944074623
Flims,GR,326945.9415398891
Flumenthal,SO,73247.20545898375
Flums,SG,688854.1236795187
Flurlingen,ZH,109147.05539994614
Fläsch,GR,58273.221789927404
Flüelen,UR,121886.64837255885
Flühli,LU,304520.39825850155
Fontaines-sur-Grandson,VD,17383.43193567969
Fontenais,JU,159154.52140987923
Forel (Lavaux),VD,195309.59454614518
Forst-Längenbühl,BE,78018.67530857475
Founex,VD,216855.0716895432
Fraubrunnen,BE,519593.7089305772
Frauenfeld,TG,1845252.2021064041
Frauenkappelen,BE,119670.93691802517
Freienbach,SZ,988371.5516365464
Freienstein-Teufen,ZH,166050.01015134313
Freienwil,AG,60757.980117061445
Freimettigen,BE,37406.343978257864
Frenkendorf,BL,332518.296725983
Fribourg,FR,1260855.5259723056
Frick,AG,392252.70747255307
Froideville,VD,124648.63108176498
Frutigen,BE,573417.0696863077
Fräschels,FR,57555.94518100316
Fulenbach,SO,170184.38513736083
Full-Reuenthal,AG,90957.86313150084
Fully,VS,453634.7761756833
Furna,GR,41508.7602945475
Fällanden,ZH,409966.3709757078
Féchy,VD,74939.93337715502
Fétigny,FR,65300.61153056223
Füllinsdorf,BL,308598.1082617359
Fürstenau,GR,26598.24268811504
Gachnang,TG,375921.0082442515
Gais,AR,355413.7952343222
Gaiserwald,SG,447493.77943350445
Galgenen,SZ,341509.19478814723
Gals,BE,100686.10345537367
Gambarogno,TI,659696.5755763833
Gampel-Bratsch,VS,150618.77042473445
Gampelen,BE,115121.27304622851
Gams,SG,303520.05612928007
Gansingen,AG,94166.18770160242
Gebenstorf,AG,280047.52007025847
Gelterkinden,BL,422783.8216635011
Geltwil,AG,20983.193213683917
Gempen,SO,74513.8595735186
Genolier,VD,147130.72332962893
Genthod,GE,170049.2733252012
Genève,GE,3973171.221204871
Gerlafingen,SO,314839.14346617035
Geroldswil,ZH,211040.45565408454
Gersau,SZ,163688.7496801868
Gerzensee,BE,122550.31503134653
Geuensee,LU,153313.8081511727
Gibloux,FR,530763.2525390984
Giebenach,BL,68626.14196670827
Giez,VD,45074.69478117006
Giffers,FR,119931.42035860471
Gilly,VD,86587.82963586847
Gimel,VD,109376.34286206067
Gingins,VD,97731.63764409539
Giornico,TI,150042.72378222307
Gipf-Oberfrick,AG,235491.4959478018
Gisikon,LU,75281.74264071339
Giswil,OW,277039.82538152573
Givisiez,FR,259591.07120374718
Givrins,VD,80211.69376619917
Gland,VD,475204.8245669737
Glarus,GL,1088464.959889557
Glarus Nord,GL,1928651.3753497002
Glarus Süd,GL,1511239.1633758473
Glattfelden,ZH,267772.302572471
Gletterens,FR,79258.48967236311
Goldach,SG,464349.4821331003
Gollion,VD,60294.603057082975
Gommiswald,SG,417569.1703407639
Goms,VS,163574.97514372526
Gondiswil,BE,121624.84969738017
Gonten,AI,244154.24578783673
Gontenschwil,AG,251913.67003691313
Gordola,TI,276170.88257260923
Gossau (SG),SG,1173704.6365610051
Gossau (ZH),ZH,694711.4920603503
Gottlieben,TG,35116.12461510058
Goumoëns,VD,89350.38880402564
Graben,BE,38840.04230709775
Grabs,SG,754310.6573858017
Grancia,TI,76782.17345732183
Grancy,VD,44756.98228171436
Grandcour,VD,106218.29454942426
Grandevent,VD,19320.74961844729
Grandfontaine,JU,54965.554572306115
Grandson,VD,212968.46467374748
Grandval,BE,45776.65270783331
Grandvillard,FR,69779.12742566371
Granges (Veveyse),FR,77351.43841582336
Granges-Paccot,FR,207583.2586908974
Grangettes,FR,25700.976034017647
Gravesano,TI,74254.56492169786
Greifensee,ZH,190970.03333806252
Grellingen,BL,144307.97061430654
Grenchen,SO,987197.7695321309
Greng,FR,20029.244844538283
Grengiols,VS,35780.52702374011
Grens,VD,30548.55841102062
Greppen,LU,89145.83682483686
Gretzenbach,SO,219211.56359452935
Grimisuat,VS,191326.19851010194
Grindel,SO,39718.55676966986
Grindelwald,BE,540632.7706627424
Grolley,FR,117651.1603430666
Grono,GR,127178.59378996094
Grossaffoltern,BE,297871.2667781068
Grossdietwil,LU,94362.3482277637
Grosshöchstetten,BE,285040.4055565573
Grosswangen,LU,257005.5645926321
Grub (AR),AR,80444.32737833464
Gruyères,FR,186913.53491300406
Gryon,VD,229849.4370746504
Grächen,VS,139765.212907849
Gränichen,AG,504940.0540090292
Grône,VS,149613.02861174464
Grüningen,ZH,314621.7766742463
Grüsch,GR,218929.79479339026
Gsteig,BE,116768.12437139876
Gsteigwiler,BE,41496.98076116448
Guggisberg,BE,251968.02812271743
Gunzgen,SO,160603.92019857952
Gurbrü,BE,36976.768947231045
Gurmels,FR,331729.79337554757
Gurtnellen,UR,57459.08637809906
Gurzelen,BE,83704.02581530099
Guttannen,BE,34189.07998785666
Guttet-Feschel,VS,48669.5373382096
Gy,GE,38182.654325541924
Gächlingen,SH,97494.75888073829
Göschenen,UR,45355.74959706333
Gündlischwand,BE,35175.29568942589
Günsberg,SO,96748.57003798254
Güttingen,TG,239724.3823203175
Habkern,BE,69877.71516244757
